first_seen_at,furnish,latitude,longitude,property_type,energy_label,internet,kitchen,pets,shower,smoking_inside,toilet,area,rent,deposit,distance,rent_per_m2
2019-07-14,Furnished,52.3702,4.920721,Studio,Unknown,Yes,Own,No,Own,No,Own,302,950,895,1.678926468219396,3.1456953642384105
2019-07-14,Furnished,52.35088,4.854786,Room,Unknown,Yes,Shared,Yes,Shared,Yes,Shared,112,1000,1000,4.4105476046250525,8.928571428571429
2019-07-14,Furnished,52.354884,4.879218,Apartment,Unknown,Yes,Own,No,Own,No,Own,602,1590,1590,3.0429373422199806,2.6411960132890364
2019-07-14,Unfurnished,52.326211,4.976048,Room,C,Yes,Shared,No,Shared,No,Shared,192,750,1500,7.7985085975365465,3.90625
2019-07-14,Furnished,52.352244,4.824007,Room,Unknown,Yes,Shared,No,Own,No,Own,122,800,800,6.000409320597226,6.557377049180328
2019-07-14,Unfurnished,52.356021,4.797621,Room,Unknown,Yes,Shared,No,Shared,No,Shared,162,650,650,7.460844716897092,4.012345679012346
2019-07-14,Furnished,52.357353,4.876115,Room,D,Yes,Shared,No,Shared,No,Shared,202,900,0,2.919952874162892,4.455445544554456
2019-07-14,Unfurnished,52.352087,4.848855,Apartment,Unknown,Yes,Shared,No,Shared,No,Shared,1152,3200,3500,4.617019653924101,2.7777777777777777
2019-07-14,Furnished,52.341719,4.89488,Room,Unknown,Yes,Shared,No,Shared,No,Shared,182,700,300,4.155582651566532,3.8461538461538463
2019-07-14,Furnished,52.321653,4.979319,Room,Unknown,Yes,Shared,No,Shared,No,Shared,152,550,550,8.328625851245883,3.6184210526315788
2019-07-14,Furnished,52.368857,4.907587,Room,Unknown,Yes,Shared,No,Shared,Yes,Shared,152,750,750,1.21524271438292,4.934210526315789
2019-07-14,Furnished,52.300546,4.986728,Room,Unknown,Yes,Own,No,Own,No,Own,102,500,350,10.511590561795256,4.901960784313726
2019-07-14,Furnished,52.368091,4.87584,Room,Unknown,No,None,No,None,No,None,142,800,0,2.0702592464963323,5.633802816901408
2019-07-14,Furnished,52.360034,4.792457,Room,Unknown,Yes,Shared,No,Shared,No,Shared,162,850,0,7.657819181203158,5.246913580246914
2019-07-14,Furnished,52.398532,4.905836,Apartment,A,Yes,Own,No,Own,No,Own,602,1550,2500,2.2135436202576626,2.574750830564784
2019-07-14,Furnished,52.34921,4.785248,Apartment,Unknown,Yes,Own,No,Own,No,Own,402,1400,1500,8.522808888040682,3.482587064676617
2019-07-14,Furnished,52.351617,4.94402,Room,Unknown,Yes,Shared,No,Shared,No,Shared,112,480,0,4.239457815796947,4.285714285714286
2019-07-14,Furnished,52.355426,4.895499,Apartment,Unknown,No,None,No,None,No,None,662,1675,0,2.6349964946717326,2.5302114803625377
2019-07-14,Furnished,52.413631,4.919661,Room,Unknown,Yes,Shared,No,Shared,No,Shared,182,800,800,4.076990716891476,4.395604395604396
2019-07-14,Furnished,52.356022,4.994385,Room,A,Yes,Shared,No,Shared,No,Shared,102,780,1560,6.877940599128657,7.647058823529412
2019-07-14,Furnished,52.378454,4.812043,Apartment,Unknown,Yes,Own,No,Own,No,Own,532,1350,0,6.0293441953201174,2.537593984962406
2019-07-14,Unfurnished,52.298603,4.955822,Studio,A,Yes,Own,Yes,Own,No,Own,412,909,984,9.695970619209609,2.2063106796116503
2019-07-14,Furnished,52.376581,4.923626,Room,A,Yes,Shared,No,Shared,No,Shared,202,890,890,1.5904543362836194,4.405940594059406
2019-07-14,Furnished,52.382738,4.888355,Room,Unknown,Yes,Shared,No,Own,No,Shared,142,1050,2200,0.9355842393684863,7.394366197183099
2019-07-14,Furnished,52.368716,4.880033,Room,Unknown,No,Shared,No,Shared,No,Shared,122,865,0,1.8007482175205005,7.090163934426229
2019-07-14,Uncarpeted,52.378932,4.79823,Room,Unknown,No,Shared,No,Shared,No,Shared,102,650,0,6.969726103309093,6.372549019607843
2019-07-14,Furnished,52.362494,4.93444,Room,Unknown,Yes,Shared,Yes,Shared,No,Shared,202,750,0,2.941328690259665,3.712871287128713
2019-07-14,Uncarpeted,52.384136,4.836511,Room,Unknown,Yes,Shared,No,Shared,Yes,Shared,92,650,0,4.401380216733152,7.065217391304348
2019-07-14,Furnished,52.370953,4.896678,Studio,Unknown,Yes,Own,No,Own,No,Own,352,1550,1550,0.9234794868987819,4.403409090909091
2019-07-14,Furnished,52.374108,4.963605,Apartment,Unknown,Yes,Own,No,Own,Not important,Own,1202,1850,0,4.325001172920663,1.5391014975041597
2019-07-14,Furnished,52.331923,4.886503,Apartment,Unknown,Yes,Own,No,Own,No,Own,402,1285,1285,5.314698430057399,3.1965174129353233
2019-07-14,Furnished,52.365002,4.866614,Apartment,Unknown,No,Own,No,Own,Yes,Own,502,1300,3000,2.782742377196839,2.589641434262948
